Products,Abia,Adamawa,"Akwa-Ibom",Anambra,Bauchi,Bayelsa,Benue,Borno,"Cross-River",Delta,Ebonyi,Edo,Ekiti,Enugu,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara,FCT,Total
Total,"373,433.86","440,555.91","534,066.32","598,148.25","386,515.44","170,917.22","219,315.70","430,454.24","419,871.36","975,447.10","111,600.86","872,751.62","418,214.68","152,128.98","188,542.35","392,813.19","142,761.62","711,196.62","770,743.91","354,292.98","325,282.69","206,791.09","432,082.59","5,645,983.90","150,970.24","402,050.24","1,312,557.87","378,208.48","384,241.09","1,347,564.73","344,943.03","1,769,759.28","289,591.25","164,238.37","169,359.45","187,142.07","1,709,295.52","23,883,834.09"
PMS,"244,840.28","413,190.40","418,663.94","477,152.31","353,446.52","127,189.13","168,458.68","412,872.98","287,565.97","676,216.16","81,319.78","634,172.38","329,649.36","100,724.68","160,452.18","287,914.02","131,481.00","540,037.43","697,930.82","307,107.65","305,594.39","173,551.60","327,623.50","3,125,393.29","122,922.26","348,729.53","949,912.28","293,253.18","292,221.20","995,152.74","314,121.82","932,238.42","276,089.82","150,181.81","160,757.04","174,808.06","1,606,540.05","17,399,476.63"
HHK,"91,277.12","11,197.10","74,531.82","99,722.13","26,883.45","20,188.16","35,753.51","12,107.82","80,090.14","137,235.74","23,043.88","151,401.31","63,890.29","30,305.43","18,727.68","75,490.69","6,891.49","76,504.28","44,825.12","29,839.17","14,918.96","18,660.30","45,169.54","871,833.94","23,530.97","35,088.02","182,956.34","50,646.53","52,653.31","148,687.04","21,174.23","221,805.47","7,509.08","8,872.40","6,828.60","9,802.39","54,078.69","2,884,122.12"
AGO,"37,316.47","16,168.41","40,870.57","21,273.81","6,185.48","23,539.94","15,103.51","5,473.43","52,215.26","161,995.21","7,237.20","87,177.93","24,675.03","21,098.88","9,362.49","29,408.48","4,389.13","94,654.91","27,987.97","17,346.17","4,769.35","14,579.19","59,289.55","1,267,937.00","4,517.01","18,232.69","179,437.29","34,308.77","39,366.58","203,724.95","9,646.97","615,715.38","5,992.34","5,184.16","1,773.81","2,531.62","48,676.79","3,219,163.71"
